Indicator Name,Region,Country Code,Country,Year,Sex,Age,Location,Occupation,Value,LowerBound,UpperBound,Unit,NatureData,OriginData,Footnote1,Footnote2
Proportion of women in managerial positions,Developed regions,380,Italy,2008,Female,-,-,-,33.4,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Unemployment definition: Two criteria (not in employment and seeking),-
Proportion of women in managerial positions,Developed regions,380,Italy,2000,Female,-,-,-,14.3,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Unemployment definition: Two criteria (not in employment and seeking),-
Proportion of women in managerial positions,Developed regions,380,Italy,2005,Female,-,-,-,32.5,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Unemployment definition: Two criteria (not in employment and seeking),Break in series: Methodology revised
Proportion of women in managerial positions,Developed regions,380,Italy,2007,Female,-,-,-,33.7,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Unemployment definition: Two criteria (not in employment and seeking),-
Proportion of women in managerial positions,Developed regions,380,Italy,2009,Female,-,-,-,33.8,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Unemployment definition: Two criteria (not in employment and seeking),-
Proportion of women in managerial positions,Developed regions,380,Italy,2010,Female,-,-,-,32.9,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Unemployment definition: Two criteria (not in employment and seeking),-
Proportion of women in managerial positions,Developed regions,380,Italy,2001,Female,-,-,-,18.8,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Unemployment definition: Two criteria (not in employment and seeking),-
Proportion of women in managerial positions,Developed regions,380,Italy,2004,Female,-,-,-,33.3,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Unemployment definition: Two criteria (not in employment and seeking),Break in series: Methodology revised
Proportion of women in managerial positions,Developed regions,380,Italy,2006,Female,-,-,-,33,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Unemployment definition: Two criteria (not in employment and seeking),-
Proportion of women in managerial positions,Developed regions,380,Italy,2011,Female,-,-,-,25.1,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Unemployment definition: Two criteria (not in employment and seeking),Break in series: Methodology revised
Proportion of women in managerial positions,Developed regions,380,Italy,2002,Female,-,-,-,20.2,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Unemployment definition: Two criteria (not in employment and seeking),-
Proportion of women in managerial positions,Developed regions,380,Italy,2012,Female,-,-,-,26,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Unemployment definition: Two criteria (not in employment and seeking),-
Proportion of women in managerial positions,Developed regions,380,Italy,2013,Female,-,-,-,27,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Unemployment definition: Two criteria (not in employment and seeking),-
Proportion of women in managerial positions,Developed regions,380,Italy,2015,Female,-,-,-,26.6,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Unemployment definition: Two criteria (not in employment and seeking),-
Proportion of women in managerial positions,Developed regions,380,Italy,2014,Female,-,-,-,26.6,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Unemployment definition: Two criteria (not in employment and seeking),-
Proportion of women in managerial positions,Developed regions,380,Italy,2016,Female,-,-,-,27.7,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Unemployment definition: Two criteria (not in employment and seeking),-
Proportion of women in managerial positions,Developed regions,380,Italy,2017,Female,-,-,-,27.5,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Unemployment definition: Two criteria (not in employment and seeking),-
Proportion of women in managerial positions,Developed regions,392,Japan,2009,Female,-,-,-,10.7,-,-,Percentage,Country data,-,-,-
Proportion of women in managerial positions,Developed regions,392,Japan,2010,Female,-,-,-,10.6,-,-,Percentage,Country data,-,-,-
Proportion of women in managerial positions,Developed regions,392,Japan,2011,Female,-,-,-,11.4,-,-,Percentage,Country data,-,-,-
Proportion of women in managerial positions,Developed regions,392,Japan,2012,Female,-,-,-,11.1,-,-,Percentage,Country data,-,-,-
Proportion of women in managerial positions,Developed regions,392,Japan,2013,Female,-,-,-,11.2,-,-,Percentage,Country data,-,-,-
Proportion of women in managerial positions,Developed regions,392,Japan,2015,Female,-,-,-,12.5,-,-,Percentage,Country data,-,-,-
Proportion of women in managerial positions,Developed regions,392,Japan,2014,Female,-,-,-,11.3,-,-,Percentage,Country data,-,-,-
Proportion of women in managerial positions,Developed regions,392,Japan,2016,Female,-,-,-,13,-,-,Percentage,Country data,-,-,-
Proportion of women in managerial positions,Developed regions,392,Japan,2017,Female,-,-,-,13.2,-,-,Percentage,Country data,-,Employment definition: Excluding own-use production workers;,-
Proportion of women in managerial positions,Developed regions,428,Latvia,2003,Female,-,-,-,39.3,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,428,Latvia,2008,Female,-,-,-,42.5,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,428,Latvia,2000,Female,-,-,-,37.1,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,428,Latvia,2005,Female,-,-,-,43.3,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-
Proportion of women in managerial positions,Developed regions,428,Latvia,2007,Female,-,-,-,42.5,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,428,Latvia,2009,Female,-,-,-,44.3,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,428,Latvia,2010,Female,-,-,-,42.1,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,428,Latvia,2001,Female,-,-,-,38.4,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,428,Latvia,2004,Female,-,-,-,43.6,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,428,Latvia,2006,Female,-,-,-,40.2,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,428,Latvia,2011,Female,-,-,-,45.5,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-
Proportion of women in managerial positions,Developed regions,428,Latvia,2002,Female,-,-,-,40.3,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-
Proportion of women in managerial positions,Developed regions,428,Latvia,2012,Female,-,-,-,45.8,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,428,Latvia,2013,Female,-,-,-,43.8,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,428,Latvia,2015,Female,-,-,-,44.3,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,428,Latvia,2014,Female,-,-,-,44.1,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,428,Latvia,2016,Female,-,-,-,47.3,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,428,Latvia,2017,Female,-,-,-,46.3,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,440,Lithuania,2003,Female,-,-,-,40.8,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,440,Lithuania,2008,Female,-,-,-,40.2,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,440,Lithuania,2000,Female,-,-,-,42.7,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,440,Lithuania,2005,Female,-,-,-,43.2,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-
Proportion of women in managerial positions,Developed regions,440,Lithuania,2007,Female,-,-,-,38.1,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,440,Lithuania,2009,Female,-,-,-,39.2,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,440,Lithuania,2010,Female,-,-,-,41.1,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,440,Lithuania,2001,Female,-,-,-,46.4,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,440,Lithuania,2004,Female,-,-,-,45.4,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,440,Lithuania,2006,Female,-,-,-,40.5,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,440,Lithuania,2011,Female,-,-,-,39.1,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-
Proportion of women in managerial positions,Developed regions,440,Lithuania,2002,Female,-,-,-,47,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-
Proportion of women in managerial positions,Developed regions,440,Lithuania,2012,Female,-,-,-,38.9,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,440,Lithuania,2013,Female,-,-,-,39.6,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,440,Lithuania,2015,Female,-,-,-,39.6,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,440,Lithuania,2016,Female,-,-,-,39.4,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,440,Lithuania,2017,Female,-,-,-,39.3,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,442,Luxembourg,2003,Female,-,-,-,28.8,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-
Proportion of women in managerial positions,Developed regions,442,Luxembourg,2008,Female,-,-,-,27.5,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,442,Luxembourg,2000,Female,-,-,-,26.9,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,442,Luxembourg,2005,Female,-,-,-,23.8,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-
Proportion of women in managerial positions,Developed regions,442,Luxembourg,2007,Female,-,-,-,21.2,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-
Proportion of women in managerial positions,Developed regions,442,Luxembourg,2009,Female,-,-,-,19.1,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-
Proportion of women in managerial positions,Developed regions,442,Luxembourg,2010,Female,-,-,-,24.7,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,442,Luxembourg,2001,Female,-,-,-,30.2,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,442,Luxembourg,2004,Female,-,-,-,26.7,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,442,Luxembourg,2006,Female,-,-,-,26.8,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,442,Luxembourg,2011,Female,-,-,-,24,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-
Proportion of women in managerial positions,Developed regions,442,Luxembourg,2002,Female,-,-,-,22.1,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,442,Luxembourg,2012,Female,-,-,-,18,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,442,Luxembourg,2013,Female,-,-,-,14.9,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,442,Luxembourg,2015,Female,-,-,-,18.2,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-
Proportion of women in managerial positions,Developed regions,442,Luxembourg,2014,Female,-,-,-,22.5,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,442,Luxembourg,2016,Female,-,-,-,17.7,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,442,Luxembourg,2017,Female,-,-,-,18.8,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,470,Malta,2003,Female,-,-,-,19.1,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,470,Malta,2008,Female,-,-,-,17.1,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,470,Malta,2000,Female,-,-,-,17.6,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,470,Malta,2005,Female,-,-,-,18,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-
Proportion of women in managerial positions,Developed regions,470,Malta,2007,Female,-,-,-,18,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,470,Malta,2009,Female,-,-,-,21.3,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,470,Malta,2010,Female,-,-,-,22.7,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,470,Malta,2001,Female,-,-,-,15.3,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,470,Malta,2004,Female,-,-,-,13.1,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,470,Malta,2006,Female,-,-,-,18.3,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,470,Malta,2011,Female,-,-,-,24.2,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-
Proportion of women in managerial positions,Developed regions,470,Malta,2002,Female,-,-,-,17.7,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,470,Malta,2012,Female,-,-,-,26.2,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,470,Malta,2013,Female,-,-,-,28.1,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,470,Malta,2015,Female,-,-,-,27.1,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,470,Malta,2014,Female,-,-,-,25.7,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,470,Malta,2016,Female,-,-,-,28.7,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,470,Malta,2017,Female,-,-,-,28.5,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,498,Republic of Moldova,2003,Female,-,-,-,39.5,-,-,Percentage,Country data,-,-,-
Proportion of women in managerial positions,Developed regions,498,Republic of Moldova,2008,Female,-,-,-,38,-,-,Percentage,Country data,-,-,-
Proportion of women in managerial positions,Developed regions,498,Republic of Moldova,2000,Female,-,-,-,33.2,-,-,Percentage,Country data,-,-,-
Proportion of women in managerial positions,Developed regions,498,Republic of Moldova,2005,Female,-,-,-,38.9,-,-,Percentage,Country data,-,-,-
Proportion of women in managerial positions,Developed regions,498,Republic of Moldova,2007,Female,-,-,-,40.2,-,-,Percentage,Country data,-,-,-
Proportion of women in managerial positions,Developed regions,498,Republic of Moldova,2009,Female,-,-,-,38.7,-,-,Percentage,Country data,-,Geographical coverage: Total national  excluding some areas,Population coverage: Excluding both institutional population and armed forces and/or conscripts
Proportion of women in managerial positions,Developed regions,498,Republic of Moldova,2010,Female,-,-,-,36.4,-,-,Percentage,Country data,-,Repository: ILO-STATISTICS - Micro data processing;Break in series: Methodology revised,-
Proportion of women in managerial positions,Developed regions,498,Republic of Moldova,2001,Female,-,-,-,37.4,-,-,Percentage,Country data,-,-,-
Proportion of women in managerial positions,Developed regions,498,Republic of Moldova,2004,Female,-,-,-,39,-,-,Percentage,Country data,-,-,-
Proportion of women in managerial positions,Developed regions,498,Republic of Moldova,2006,Female,-,-,-,38.9,-,-,Percentage,Country data,-,-,-
Proportion of women in managerial positions,Developed regions,498,Republic of Moldova,2011,Female,-,-,-,39.4,-,-,Percentage,Country data,-,Repository: ILO-STATISTICS - Micro data processing;,-
Proportion of women in managerial positions,Developed regions,498,Republic of Moldova,2002,Female,-,-,-,40.2,-,-,Percentage,Country data,-,-,-
Proportion of women in managerial positions,Developed regions,498,Republic of Moldova,2012,Female,-,-,-,44.1,-,-,Percentage,Country data,-,Repository: ILO-STATISTICS - Micro data processing;,-
Proportion of women in managerial positions,Developed regions,498,Republic of Moldova,2013,Female,-,-,-,39.2,-,-,Percentage,Country data,-,Repository: ILO-STATISTICS - Micro data processing;,-
Proportion of women in managerial positions,Developed regions,498,Republic of Moldova,2015,Female,-,-,-,46.4,-,-,Percentage,Country data,-,Repository: ILO-STATISTICS - Micro data processing;,-
Proportion of women in managerial positions,Developed regions,498,Republic of Moldova,2014,Female,-,-,-,42.9,-,-,Percentage,Country data,-,Repository: ILO-STATISTICS - Micro data processing;,-
Proportion of women in managerial positions,Developed regions,498,Republic of Moldova,2016,Female,-,-,-,46.8,-,-,Percentage,Country data,-,Repository: ILO-STATISTICS - Micro data processing;,-
Proportion of women in managerial positions,Developed regions,498,Republic of Moldova,2017,Female,-,-,-,42,-,-,Percentage,Country data,-,Repository: ILO-STATISTICS - Micro data processing;,-
Proportion of women in managerial positions,Developed regions,499,Montenegro,2008,Female,-,-,-,23.4,-,-,Percentage,Country data,-,Data reference period: October,Age coverage - maximum age: 64 years old;
Proportion of women in managerial positions,Developed regions,499,Montenegro,2005,Female,-,-,-,19.7,-,-,Percentage,Country data,-,Data reference period: October,Age coverage - maximum age: 64 years old;
Proportion of women in managerial positions,Developed regions,499,Montenegro,2007,Female,-,-,-,31.4,-,-,Percentage,Country data,-,Data reference period: October,Age coverage - maximum age: 64 years old;
Proportion of women in managerial positions,Developed regions,499,Montenegro,2009,Female,-,-,-,24.5,-,-,Percentage,Country data,-,Data reference period: October,Age coverage - maximum age: 64 years old;
Proportion of women in managerial positions,Developed regions,499,Montenegro,2010,Female,-,-,-,30.2,-,-,Percentage,Country data,-,Data reference period: October,Age coverage - maximum age: 64 years old;
Proportion of women in managerial positions,Developed regions,499,Montenegro,2011,Female,-,-,-,31,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-
Proportion of women in managerial positions,Developed regions,499,Montenegro,2012,Female,-,-,-,28.5,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,499,Montenegro,2013,Female,-,-,-,25.4,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,499,Montenegro,2015,Female,-,-,-,22.3,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,499,Montenegro,2014,Female,-,-,-,26.7,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,499,Montenegro,2016,Female,-,-,-,29.4,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,499,Montenegro,2017,Female,-,-,-,22.1,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,528,Netherlands,2003,Female,-,-,-,25.7,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,528,Netherlands,2008,Female,-,-,-,28.1,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,528,Netherlands,2000,Female,-,-,-,25.3,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,528,Netherlands,2005,Female,-,-,-,25.5,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-
Proportion of women in managerial positions,Developed regions,528,Netherlands,2007,Female,-,-,-,28,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,528,Netherlands,2009,Female,-,-,-,28.5,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,528,Netherlands,2010,Female,-,-,-,28.6,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-
Proportion of women in managerial positions,Developed regions,528,Netherlands,2001,Female,-,-,-,26.2,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,528,Netherlands,2004,Female,-,-,-,25.4,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,528,Netherlands,2006,Female,-,-,-,26.7,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,528,Netherlands,2011,Female,-,-,-,29.3,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-
Proportion of women in managerial positions,Developed regions,528,Netherlands,2002,Female,-,-,-,25.4,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,528,Netherlands,2012,Female,-,-,-,28.8,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,528,Netherlands,2013,Female,-,-,-,24.6,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-
Proportion of women in managerial positions,Developed regions,528,Netherlands,2015,Female,-,-,-,26,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,528,Netherlands,2014,Female,-,-,-,25.5,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,528,Netherlands,2016,Female,-,-,-,25.4,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,528,Netherlands,2017,Female,-,-,-,26.6,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,554,New Zealand,2003,Female,-,-,-,36.4,-,-,Percentage,Country data,-,Population coverage: Excluding armed forces and/or conscripts;Break in series: Methodology revised,-
Proportion of women in managerial positions,Developed regions,554,New Zealand,2008,Female,-,-,-,40,-,-,Percentage,Country data,-,Population coverage: Excluding armed forces and/or conscripts;Break in series: Methodology revised,-
Proportion of women in managerial positions,Developed regions,554,New Zealand,2000,Female,-,-,-,38.2,-,-,Percentage,Country data,-,Population coverage: Excluding armed forces and/or conscripts;Break in series: Methodology revised,-
Proportion of women in managerial positions,Developed regions,554,New Zealand,2005,Female,-,-,-,36.5,-,-,Percentage,Country data,-,Population coverage: Excluding armed forces and/or conscripts;Break in series: Methodology revised,-
Proportion of women in managerial positions,Developed regions,554,New Zealand,2007,Female,-,-,-,40,-,-,Percentage,Country data,-,Population coverage: Excluding armed forces and/or conscripts;Break in series: Methodology revised,-
Proportion of women in managerial positions,Developed regions,554,New Zealand,2001,Female,-,-,-,38.6,-,-,Percentage,Country data,-,Population coverage: Excluding armed forces and/or conscripts;Break in series: Methodology revised,-
Proportion of women in managerial positions,Developed regions,554,New Zealand,2004,Female,-,-,-,36.3,-,-,Percentage,Country data,-,Population coverage: Excluding armed forces and/or conscripts;Break in series: Methodology revised,-
Proportion of women in managerial positions,Developed regions,554,New Zealand,2006,Female,-,-,-,39.9,-,-,Percentage,Country data,-,Population coverage: Excluding armed forces and/or conscripts;Break in series: Methodology revised,-
Proportion of women in managerial positions,Developed regions,554,New Zealand,2002,Female,-,-,-,38.6,-,-,Percentage,Country data,-,Population coverage: Excluding armed forces and/or conscripts;Break in series: Methodology revised,-
Proportion of women in managerial positions,Developed regions,578,Norway,2003,Female,-,-,-,28.4,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,578,Norway,2008,Female,-,-,-,31.5,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,578,Norway,2000,Female,-,-,-,25,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,578,Norway,2005,Female,-,-,-,30.4,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-
Proportion of women in managerial positions,Developed regions,578,Norway,2007,Female,-,-,-,31.6,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,578,Norway,2009,Female,-,-,-,34.1,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,578,Norway,2010,Female,-,-,-,34.4,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,578,Norway,2001,Female,-,-,-,25.2,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,578,Norway,2004,Female,-,-,-,29.2,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,578,Norway,2006,Female,-,-,-,33.2,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-
Proportion of women in managerial positions,Developed regions,578,Norway,2011,Female,-,-,-,31.4,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-
Proportion of women in managerial positions,Developed regions,578,Norway,2002,Female,-,-,-,27.5,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,578,Norway,2012,Female,-,-,-,32.2,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,578,Norway,2013,Female,-,-,-,32.9,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,578,Norway,2015,Female,-,-,-,36,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,578,Norway,2014,Female,-,-,-,35.5,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,578,Norway,2016,Female,-,-,-,37.9,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,578,Norway,2017,Female,-,-,-,38.3,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,616,Poland,2003,Female,-,-,-,33.3,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,616,Poland,2008,Female,-,-,-,36.1,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
Proportion of women in managerial positions,Developed regions,616,Poland,2000,Female,-,-,-,32.5,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-
